Time,Detected Labels,Status,Snapshot
01:19:47,"harmonica, mouth organ, harp, mouth harp (15.9%); jersey, T-shirt, tee shirt (10.2%); cellular telephone, cellular phone, cellphone, cell, mobile phone (8.9%)",SAFE,N/A
01:19:47,"harmonica, mouth organ, harp, mouth harp (18.1%); cellular telephone, cellular phone, cellphone, cell, mobile phone (9.6%); ocarina, sweet potato (7.8%)",SAFE,N/A
01:19:47,"candle, taper, wax light (37.8%); harmonica, mouth organ, harp, mouth harp (10.5%); cellular telephone, cellular phone, cellphone, cell, mobile phone (4.0%)",SAFE,N/A
01:19:48,"candle, taper, wax light (79.8%); matchstick (1.1%); potter's wheel (0.8%)",SAFE,N/A
01:19:48,"candle, taper, wax light (17.9%); matchstick (11.5%); lighter, light, igniter, ignitor (3.0%)",SAFE,N/A
01:19:48,"candle, taper, wax light (29.8%); lighter, light, igniter, ignitor (6.8%); matchstick (3.7%)",SAFE,N/A
01:19:49,"candle, taper, wax light (43.3%); matchstick (7.1%); lighter, light, igniter, ignitor (2.6%)",SAFE,N/A
01:19:49,"candle, taper, wax light (15.3%); matchstick (5.4%); jack-o'-lantern (2.9%)",SAFE,N/A
01:19:49,"candle, taper, wax light (63.1%); matchstick (11.9%); jack-o'-lantern (1.6%)",SAFE,N/A
01:19:49,"candle, taper, wax light (39.6%); jack-o'-lantern (10.4%); matchstick (9.3%)",SAFE,N/A
01:19:50,"candle, taper, wax light (58.2%); jack-o'-lantern (6.8%); matchstick (6.0%)",SAFE,N/A
01:19:50,"candle, taper, wax light (70.5%); matchstick (7.2%); jack-o'-lantern (4.1%)",SAFE,N/A
01:19:50,"jack-o'-lantern (21.4%); candle, taper, wax light (12.2%); lighter, light, igniter, ignitor (6.5%)",SAFE,N/A
01:19:51,"scabbard (60.0%); letter opener, paper knife, paperknife (10.0%); cleaver, meat cleaver, chopper (8.4%)",SAFE,N/A
01:19:51,"letter opener, paper knife, paperknife (34.2%); scabbard (23.8%); slide rule, slipstick (22.1%)",SAFE,N/A
01:19:51,"can opener, tin opener (11.0%); cleaver, meat cleaver, chopper (8.5%); torch (7.7%)",SAFE,N/A
01:19:51,"cleaver, meat cleaver, chopper (21.3%); letter opener, paper knife, paperknife (17.1%); scabbard (9.1%)",SAFE,N/A
01:19:52,"cleaver, meat cleaver, chopper (42.2%); letter opener, paper knife, paperknife (4.6%); can opener, tin opener (3.2%)",SAFE,N/A
01:19:52,"cleaver, meat cleaver, chopper (58.7%); letter opener, paper knife, paperknife (4.5%); lighter, light, igniter, ignitor (3.4%)",SAFE,N/A
